ip,identity,user,timestamp,request,status,size,referer,user_agent,vulnerability,method,url,protocol,request_length,url_parts,user_agent_length,Predicted_Vulnerability
12.12.12.12,-,-,2024-06-30 14:48:58-04:00,GET / HTTP/1.1,200,11012,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Recon,GET,/,HTTP/1.1,14,2,115,Exec
12.12.12.12,-,-,2024-06-30 14:48:58-04:00,GET /DVWA/vulnerabilities/brute/ HTTP/1.1,302,671,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Recon,GET,/DVWA/vulnerabilities/brute/,HTTP/1.1,41,5,115,Recon
12.12.12.12,-,-,2024-06-30 14:48:58-04:00,GET /DVWA/vulnerabilities/brute/ HTTP/1.1,302,671,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Recon,GET,/DVWA/vulnerabilities/brute/,HTTP/1.1,41,5,115,Recon
12.12.12.12,-,-,2024-06-30 14:48:58-04:00,GET /DVWA/vulnerabilities/brute/ajD63IAs.nn HTTP/1.1,404,489,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Recon,GET,/DVWA/vulnerabilities/brute/ajD63IAs.nn,HTTP/1.1,52,5,115,Recon
12.12.12.12,-,-,2024-06-30 14:48:58-04:00,GET /DVWA/vulnerabilities/brute/ajD63IAs.list HTTP/1.1,404,489,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Recon,GET,/DVWA/vulnerabilities/brute/ajD63IAs.list,HTTP/1.1,54,5,115,Recon
12.12.12.12,-,-,2024-06-30 14:48:58-04:00,GET /DVWA/vulnerabilities/brute/ajD63IAs._ HTTP/1.1,404,489,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Recon,GET,/DVWA/vulnerabilities/brute/ajD63IAs._,HTTP/1.1,51,5,115,Recon
12.12.12.12,-,-,2024-06-30 14:48:58-04:00,GET /DVWA/vulnerabilities/brute/ajD63IAs.gz HTTP/1.1,404,489,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Recon,GET,/DVWA/vulnerabilities/brute/ajD63IAs.gz,HTTP/1.1,52,5,115,Recon
12.12.12.12,-,-,2024-06-30 14:48:58-04:00,GET /DVWA/vulnerabilities/brute/ajD63IAs.log HTTP/1.1,404,489,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Recon,GET,/DVWA/vulnerabilities/brute/ajD63IAs.log,HTTP/1.1,53,5,115,Recon
12.12.12.12,-,-,2024-06-30 14:48:58-04:00,GET /DVWA/vulnerabilities/brute/ajD63IAs.show HTTP/1.1,404,489,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Recon,GET,/DVWA/vulnerabilities/brute/ajD63IAs.show,HTTP/1.1,54,5,115,Recon
12.12.12.12,-,-,2024-06-30 14:48:58-04:00,GET /DVWA/vulnerabilities/brute/ajD63IAs.0 HTTP/1.1,404,489,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Recon,GET,/DVWA/vulnerabilities/brute/ajD63IAs.0,HTTP/1.1,51,5,115,Recon
