ip,identity,user,timestamp,request,status,size,referer,user_agent,vulnerability,method,url,protocol,request_length,url_parts,user_agent_length,Predicted_Vulnerability
12.12.12.12,-,-,2024-06-30 14:41:51-04:00,GET /DVWA/vulnerabilities/xss_r/ HTTP/1.1,200,1729,http://12.12.12.11/DVWA/vulnerabilities/sqli/?id=id&Submit=Submit,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,XSS,GET,/DVWA/vulnerabilities/xss_r/,HTTP/1.1,41,5,70,XSS
12.12.12.12,-,-,2024-06-30 14:42:01-04:00,GET /DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Ealert%28%271%27%29%3C%2Fscript%3E HTTP/1.1,200,1752,http://12.12.12.11/DVWA/vulnerabilities/xss_r/,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,XSS,GET,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Ealert%28%271%27%29%3C%2Fscript%3E,HTTP/1.1,92,5,70,XSS
12.12.12.11,-,-,2024-07-01 15:46:03-04:00,GET /DVWA/vulnerabilities/xss_r/?name=d&user_token=9f6911951c8b8d903fd5b7a9834a6ae5 HTTP/1.1,200,1703,http://12.12.12.11/DVWA/vulnerabilities/xss_r/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.107 Safari/537.36",XSS,GET,/DVWA/vulnerabilities/xss_r/?name=d&user_token=9f6911951c8b8d903fd5b7a9834a6ae5,HTTP/1.1,92,5,116,XSS
12.12.12.11,-,-,2024-07-01 15:46:04-04:00,GET /DVWA/vulnerabilities/xss_r/?name=%3cscript%3ealert('XSS')%3c%2fscript%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5 HTTP/1.1,200,1716,http://12.12.12.11/DVWA/vulnerabilities/xss_r/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.107 Safari/537.36",XSS,GET,/DVWA/vulnerabilities/xss_r/?name=%3cscript%3ealert('XSS')%3c%2fscript%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5,HTTP/1.1,130,5,116,XSS
12.12.12.11,-,-,2024-07-01 15:46:04-04:00,GET /DVWA/vulnerabilities/xss_r/?name=%3cscr%3cscript%3eipt%3ealert('XSS')%3c%2fscr%3cscript%3eipt%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5 HTTP/1.1,200,1722,http://12.12.12.11/DVWA/vulnerabilities/xss_r/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.107 Safari/537.36",XSS,GET,/DVWA/vulnerabilities/xss_r/?name=%3cscr%3cscript%3eipt%3ealert('XSS')%3c%2fscr%3cscript%3eipt%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5,HTTP/1.1,154,5,116,XSS
12.12.12.11,-,-,2024-07-01 15:46:04-04:00,GET /DVWA/vulnerabilities/xss_r/?name=%22%3e%3cscript%3ealert('XSS')%3c%2fscript%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5 HTTP/1.1,200,1718,http://12.12.12.11/DVWA/vulnerabilities/xss_r/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.107 Safari/537.36",XSS,GET,/DVWA/vulnerabilities/xss_r/?name=%22%3e%3cscript%3ealert('XSS')%3c%2fscript%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5,HTTP/1.1,136,5,116,XSS
12.12.12.11,-,-,2024-07-01 15:46:04-04:00,"GET /DVWA/vulnerabilities/xss_r/?name=%22%3e%3cscript%3ealert(String%2efromCharCode(88,83,83))%3c%2fscript%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5 HTTP/1.1",200,1736,http://12.12.12.11/DVWA/vulnerabilities/xss_r/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.107 Safari/537.36",XSS,GET,"/DVWA/vulnerabilities/xss_r/?name=%22%3e%3cscript%3ealert(String%2efromCharCode(88,83,83))%3c%2fscript%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5",HTTP/1.1,162,5,116,XSS
12.12.12.11,-,-,2024-07-01 15:46:04-04:00,GET /DVWA/vulnerabilities/xss_r/?name=%3cimg%20src%3dx%20onerror%3dalert('XSS')%3b%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5 HTTP/1.1,200,1721,http://12.12.12.11/DVWA/vulnerabilities/xss_r/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.107 Safari/537.36",XSS,GET,/DVWA/vulnerabilities/xss_r/?name=%3cimg%20src%3dx%20onerror%3dalert('XSS')%3b%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5,HTTP/1.1,138,5,116,XSS
12.12.12.11,-,-,2024-07-01 15:46:04-04:00,"GET /DVWA/vulnerabilities/xss_r/?name=%3cimg%20src%3dx%20onerror%3dalert(String%2efromCharCode(88,83,83))%3b%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5 HTTP/1.1",200,1741,http://12.12.12.11/DVWA/vulnerabilities/xss_r/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.107 Safari/537.36",XSS,GET,"/DVWA/vulnerabilities/xss_r/?name=%3cimg%20src%3dx%20onerror%3dalert(String%2efromCharCode(88,83,83))%3b%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5",HTTP/1.1,164,5,116,XSS
12.12.12.11,-,-,2024-07-01 15:46:05-04:00,"GET /DVWA/vulnerabilities/xss_r/?name=%3cimg%20src%3dx%20oneonerrorrror%3dalert(String%2efromCharCode(88,83,83))%3b%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5 HTTP/1.1",200,1743,http://12.12.12.11/DVWA/vulnerabilities/xss_r/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.107 Safari/537.36",XSS,GET,"/DVWA/vulnerabilities/xss_r/?name=%3cimg%20src%3dx%20oneonerrorrror%3dalert(String%2efromCharCode(88,83,83))%3b%3e&user_token=9f6911951c8b8d903fd5b7a9834a6ae5",HTTP/1.1,171,5,116,XSS
